"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2007","Czechia","Number","Passengers","237",""
"2007","Czechia","Number","Drivers","752",""
"2007","Czechia","Number","Pedestrians","232",""
"2007","Denmark","Number","Passengers","57",""
"2007","Denmark","Number","Drivers","281",""
"2007","Denmark","Number","Pedestrians","68",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Passengers","736",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Drivers","3,518",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","695",""
"2007","Estonia","Number","Passengers","49",""
"2007","Estonia","Number","Drivers","105",""
"2007","Estonia","Number","Pedestrians","38",""
"2007","Ireland","Number","Passengers","71",""
"2007","Ireland","Number","Drivers","186",""
"2007","Ireland","Number","Pedestrians","81",""
"2007","Greece","Number","Passengers","344",""
"2007","Greece","Number","Drivers","1,013",""
"2007","Greece","Number","Pedestrians","255",""
"2007","Spain","Number","Passengers","790",""
"2007","Spain","Number","Drivers","2,407",""
"2007","Spain","Number","Pedestrians","588",""
"2007","France","Number","Passengers","820",""
"2007","France","Number","Drivers","3,239",""
"2007","France","Number","Pedestrians","561",""
"2007","Croatia","Number","Passengers","158",""
"2007","Croatia","Number","Drivers","337",""
"2007","Croatia","Number","Pedestrians","124",""
"2007","Italy","Number","Passengers","859",""
"2007","Italy","Number","Drivers","3,645",""
